"name","actual_distance","number","percent"
"car",NA,312394,19.4648678556831
"car","-1",NA,NA
"car","0",1179783,73.5107594684319
"car","1",338841,21.1127463686482
"car","2",26660,1.66115026867517
"car","3",16877,1.05158413670033
"car","4",387,0.0241134716420589
"car","5",244,0.0152033257898252
"car","6",207,0.0128979034364501
"car","7",1095,0.0682280399174534
"car","8",33,0.00205618750436161
"car","9",85,0.00529624054153748
"car","10",46,0.00286620076365558
"car","11",65,0.00405006629646984
"car","12",229,0.0142686951060245
"car","13",195,0.0121501988894095
"car","14",311,0.0193780095108018
"car","15",365,0.0227426799724845
"car","16",566,0.0352667311354143
"car","17",1919,0.11957041881424
"car","18",5529,0.34450487004895
"car","19",4263,0.265622040336168
"car","20",13077,0.814811030137478
"car",">20",14134,0.880671338989303
"checkmate",NA,133196,17.1699866838372
"checkmate","-1",100,0.0128907675034064
"checkmate","0",546647,70.4669938343459
"checkmate","1",191924,24.7404766232377
"checkmate","2",15216,1.96145918331832
"checkmate","3",9145,1.17886068818651
"checkmate","4",451,0.0581373614403628
"checkmate","5",801,0.103255047702285
"checkmate","6",714,0.0920400799743216
"checkmate","7",494,0.0636803914668275
"checkmate","8",38,0.00489849165129443
"checkmate","9",140,0.0180470745047689
"checkmate","10",66,0.00850790655224822
"checkmate","11",229,0.0295198575828006
"checkmate","12",70,0.00902353725238447
"checkmate","13",27,0.00348050722591972
"checkmate","14",112,0.0144376596038152
"checkmate","15",85,0.0109571523778954
"checkmate","16",78,0.010054798652657
"checkmate","17",202,0.0260393503568809
"checkmate","18",115,0.0148243826289173
"checkmate","19",576,0.0742508208196208
"checkmate","20",525,0.0676765293928835
"checkmate",">20",7993,1.03035904654727
"colorspace",NA,110749,19.7148222979769
"colorspace","-1",47,0.00836663670105295
"colorspace","0",385801,68.6778043809134
"colorspace","1",137140,24.4127778123915
"colorspace","2",17714,3.15333196856281
"colorspace","3",6402,1.13964272681151
"colorspace","4",1796,0.319712330108321
"colorspace","5",439,0.0781479470587712
"colorspace","6",1327,0.236223976644623
"colorspace","7",116,0.020649571432386
"colorspace","8",427,0.0760117844968002
"colorspace","9",434,0.0772578793246166
"colorspace","10",469,0.0834883534636986
"colorspace","11",5357,0.953618570373205
"colorspace","12",2128,0.378812827656185
"colorspace","13",180,0.0320424384295645
"colorspace","14",786,0.139918647809098
"colorspace","15",102,0.0181573817767532
"colorspace","16",403,0.0717394593728583
"colorspace","17",15,0.00267020320246371
"colorspace","18",93,0.016555259855275
"colorspace","19",276,0.0491317389253322
"colorspace","20",30,0.00534040640492742
"colorspace",">20",272,0.0484196847380086
"curl",NA,1557,9.43236202823045
"curl","-1",NA,NA
"curl","0",11868,71.8967710668201
"curl","1",3457,20.9426303992246
"curl","2",380,2.30205367419882
"curl","3",168,1.01775004543527
"curl","4",58,0.351366087114557
"curl","5",50,0.302901799236687
"curl","6",167,1.01169200945054
"curl","7",156,0.945053613618465
"curl","8",26,0.157508935603077
"curl","9",63,0.381656267038226
"curl","10",41,0.248379475374084
"curl","11",6,0.0363482159084025
"curl","12",9,0.0545223238626037
"curl","13",18,0.109044647725207
"curl","14",17,0.102986611740474
"curl","15",1,0.00605803598473375
"curl","16",7,0.0424062518931362
"curl","17",NA,NA
"curl","18",NA,NA
"curl","19",2,0.0121160719694675
"curl","20",NA,NA
"curl",">20",12,0.072696431816805
"data",NA,13622,18.4637488648224
"data","-1",NA,NA
"data","0",53676,72.7543814467924
"data","1",16337,22.1437575396126
"data","2",1565,2.12125730241132
"data","3",1167,1.58179378397061
"data","4",114,0.154519701261911
"data","5",43,0.058283746967212
"data","6",76,0.103013134174607
"data","7",35,0.0474402591593586
"data","8",12,0.0162652317117801
"data","9",52,0.0704826707510471
"data","10",25,0.0338858993995419
"data","11",5,0.00677717987990837
"data","12",11,0.0149097957357984
"data","13",33,0.0447293872073953
"data","14",42,0.0569283109912303
"data","15",5,0.00677717987990837
"data","16",31,0.0420185152554319
"data","17",146,0.197893652493324
"data","18",34,0.0460848231833769
"data","19",4,0.0054217439039267
"data","20",57,0.0772598506309554
"data",">20",301,0.407986228770484
"DBI",NA,22442,21.661325817536
"DBI","-1",NA,NA
"DBI","0",74725,72.1255936064245
"DBI","1",22870,22.0744372804139
"DBI","2",2932,2.83000656345315
"DBI","3",1537,1.48353345430678
"DBI","4",288,0.277981545114088
"DBI","5",170,0.164086328713177
"DBI","6",141,0.136095131462106
"DBI","7",58,0.0559823945021428
"DBI","8",106,0.102312652021157
"DBI","9",161,0.155399405428362
"DBI","10",20,0.0193042739662561
"DBI","11",37,0.0357129068375738
"DBI","12",87,0.0839735917532142
"DBI","13",56,0.0540519671055172
"DBI","14",18,0.0173738465696305
"DBI","15",60,0.0579128218987684
"DBI","16",308,0.297285819080344
"DBI","17",4,0.00386085479325123
"DBI","18",4,0.00386085479325123
"DBI","19",4,0.00386085479325123
"DBI","20",NA,NA
"DBI",">20",14,0.0135129917763793
"digest",NA,3279,6.67032832906139
"digest","-1",NA,NA
"digest","0",35422,72.0574474144595
"digest","1",6986,14.2113186053135
"digest","2",1426,2.90085031937833
"digest","3",1068,2.17258635420481
"digest","4",411,0.836079580129379
"digest","5",321,0.652996460393018
"digest","6",639,1.29989015012816
"digest","7",585,1.19004027828634
"digest","8",155,0.315309817323732
"digest","9",167,0.339720899955246
"digest","10",11,0.0223768257455551
"digest","11",12,0.0244110826315147
"digest","12",8,0.0162740550876765
"digest","13",223,0.453639285568982
"digest","14",263,0.535009561007364
"digest","15",NA,NA
"digest","16",75,0.152569266446967
"digest","17",90,0.18308311973636
"digest","18",NA,NA
"digest","19",NA,NA
"digest","20",288,0.585865983156353
"digest",">20",1007,2.04849668416128
"dplyr",NA,63355,8.09383767099837
"dplyr","-1",96,0.0122643582419042
"dplyr","0",495146,63.256749229645
"dplyr","1",159620,20.3920506517995
