"name","path","n.functions","n.calls","n.promises","n.promise.forces","n.promise.lookups","n.alien.promises","n.alien.promise.forces","n.alien.promise.lookups"
"BMS","/home/kondziu/workspace/R-dyntrace/data/ELE-2/BMS.sqlite",1153,29015150,17470908,11614618,12669933,196,196,NA
"car","/home/kondziu/workspace/R-dyntrace/data/ELE-2/car.sqlite",1090,2583999,1917305,1604912,671374,220,220,NA
"caschrono","/home/kondziu/workspace/R-dyntrace/data/ELE-2/caschrono.sqlite",2075,2280100,1982993,1643633,646527,448,448,NA
"catdata","/home/kondziu/workspace/R-dyntrace/data/ELE-2/catdata.sqlite",0,0,0,45,0,0,0,NA
"cellranger","/home/kondziu/workspace/R-dyntrace/data/ELE-2/cellranger.sqlite",0,0,0,1,0,0,0,NA
"checkmate","/home/kondziu/workspace/R-dyntrace/data/ELE-2/checkmate.sqlite",1106,990689,908944,775749,290375,209,209,NA
"colorspace","/home/kondziu/workspace/R-dyntrace/data/ELE-2/colorspace.sqlite",1411,783607,672503,561755,270247,221,221,NA
"copula","/home/kondziu/workspace/R-dyntrace/data/ELE-2/copula.sqlite",1709,22190543,25311949,15565078,4300495,267,267,NA
"curl","/home/kondziu/workspace/R-dyntrace/data/ELE-2/curl.sqlite",581,22779,18063,16507,6366,85,85,NA
"data","/home/kondziu/workspace/R-dyntrace/data/ELE-2/data.table.sqlite",762,100874,87393,73777,29016,116,116,NA
"DBI","/home/kondziu/workspace/R-dyntrace/data/ELE-2/DBI.sqlite",682,136402,126042,103604,35838,117,117,NA
"digest","/home/kondziu/workspace/R-dyntrace/data/ELE-2/digest.sqlite",588,87116,52436,49158,26554,104,104,NA
"dplyr","/home/kondziu/workspace/R-dyntrace/data/ELE-2/dplyr.sqlite",1316,1118253,846106,782756,253053,451,451,NA
"foreach","/home/kondziu/workspace/R-dyntrace/data/ELE-2/foreach.sqlite",826,988381,894169,604905,224738,84,84,NA
"forecast","/home/kondziu/workspace/R-dyntrace/data/ELE-2/forecast.sqlite",1267,1102507,793525,701709,336001,238,238,NA
"Formula","/home/kondziu/workspace/R-dyntrace/data/ELE-2/Formula.sqlite",525,41157,28949,26421,7661,94,94,NA
"gamclass","/home/kondziu/workspace/R-dyntrace/data/ELE-2/gamclass.sqlite",3453,7945134,5392574,4349307,2664973,479,480,NA
"gdata","/home/kondziu/workspace/R-dyntrace/data/ELE-2/gdata.sqlite",605,26009,19652,17460,7878,92,92,NA
"ggplot2","/home/kondziu/workspace/R-dyntrace/data/ELE-2/ggplot2.sqlite",787,179345,148735,130719,63809,71,71,NA
"gridExtra","/home/kondziu/workspace/R-dyntrace/data/ELE-2/gridExtra.sqlite",1650,2851057,1980720,1494788,1311717,177,177,NA
