"name","type","strict","number","percent"
"car","closure",0,173392,6.71021931510035
"car","built-in",0,0,0
"car","special",0,0,0
"car","primitive",0,0,0
"car","closure",1,810811,31.3781468181683
"car","built-in",1,0,0
"car","special",1,0,0
"car","primitive",1,0,0
"car","closure",NA,5587,0.216215253953272
"car","built-in",NA,470282,18.1997748451141
"car","special",NA,264254,10.22655194526
"car","primitive",NA,859673,33.269091822404
"checkmate","closure",0,75488,7.61974746868089
"checkmate","built-in",0,0,0
"checkmate","special",0,0,0
"checkmate","primitive",0,0,0
"checkmate","closure",1,404553,40.8355195222719
"checkmate","built-in",1,0,0
"checkmate","special",1,0,0
"checkmate","primitive",1,0,0
"checkmate","closure",NA,5047,0.509443427755835
"checkmate","built-in",NA,201380,20.3272671847573
"checkmate","special",NA,95946,9.68477493946132
"checkmate","primitive",NA,208275,21.0232474570728
"colorspace","closure",0,53540,6.83250660088539
"colorspace","built-in",0,0,0
"colorspace","special",0,0,0
"colorspace","primitive",0,0,0
"colorspace","closure",1,299726,38.2495306958718
"colorspace","built-in",1,0,0
"colorspace","special",1,0,0
"colorspace","primitive",1,0,0
"colorspace","closure",NA,5330,0.680187900312274
"colorspace","built-in",NA,143198,18.2742114350689
"colorspace","special",NA,72074,9.19772283810635
"colorspace","primitive",NA,209739,26.7658405297553
"curl","closure",0,705,3.09495588041617
"curl","built-in",0,0,0
"curl","special",0,0,0
"curl","primitive",0,0,0
"curl","closure",1,8846,38.8340137846262
"curl","built-in",1,0,0
"curl","special",1,0,0
"curl","primitive",1,0,0
"curl","closure",NA,290,1.2731024188946
"curl","built-in",NA,6047,26.5463804381228
"curl","special",NA,1880,8.25321568110979
"curl","primitive",NA,5011,21.9983317968304
"data","closure",0,8600,8.52548724150921
"data","built-in",0,0,0
"data","special",0,0,0
"data","primitive",0,0,0
"data","closure",1,35696,35.3867200666178
"data","built-in",1,0,0
"data","special",1,0,0
"data","primitive",1,0,0
"data","closure",NA,472,0.46791046255725
"data","built-in",NA,18719,18.5568134504431
"data","special",NA,11149,11.0524020064635
"data","primitive",NA,26238,26.0106667724091
"DBI","closure",0,13353,9.78944590255275
"DBI","built-in",0,0,0
"DBI","special",0,0,0
"DBI","primitive",0,0,0
