"name","strictness_rate","number","percent"
"car","0",8602,0.332894865671388
"car","(0,10〉",0,0
"car","(10,20〉",110,0.00425696759170572
"car","(20,30〉",21,0.000812693812962002
"car","(30,40〉",6343,0.245472231219904
"car","(40,50〉",86797,3.35901832779347
"car","(50,60〉",1954,0.0756192243108453
"car","(60,70〉",41877,1.62062756216237
"car","(70,80〉",27488,1.06377750146188
"car","(80,90〉",200,0.00773994107582859
"car","(90,100)",0,0
"car","100",810811,31.3781468181683
"car",NA,1599796,61.9116338667314
"checkmate","0",1466,0.147977821495949
"checkmate","(0,10〉",0,0
"checkmate","(10,20〉",74,0.00746954897046399
"checkmate","(20,30〉",12,0.00121127821142659
"checkmate","(30,40〉",3722,0.375698125244148
"checkmate","(40,50〉",42201,4.25976265003447
"checkmate","(50,60〉",780,0.0787330837427285
"checkmate","(60,70〉",10759,1.08601185639489
"checkmate","(70,80〉",15890,1.60393423163071
"checkmate","(80,90〉",464,0.0468360908418283
"checkmate","(90,100)",120,0.0121127821142659
"checkmate","100",404553,40.8355195222719
"checkmate",NA,510648,51.5447330090472
"colorspace","0",2507,0.319930781629056
"colorspace","(0,10〉",8,0.0010209199254218
"colorspace","(10,20〉",162,0.0206736284897914
"colorspace","(20,30〉",9,0.00114853491609952
"colorspace","(30,40〉",2410,0.307552127533317
"colorspace","(40,50〉",26905,3.43348132418419
"colorspace","(50,60〉",799,0.101964377551502
"colorspace","(60,70〉",8968,1.14445123639784
"colorspace","(70,80〉",11234,1.43362680527356
"colorspace","(80,90〉",256,0.0326694376134976
"colorspace","(90,100)",282,0.0359874273711184
"colorspace","100",299726,38.2495306958718
"colorspace",NA,430341,54.9179627032428
"curl","0",57,0.250230475437903
"curl","(0,10〉",0,0
"curl","(10,20〉",0,0
"curl","(20,30〉",0,0
"curl","(30,40〉",55,0.241450458755872
"curl","(40,50〉",293,1.28627244391764
"curl","(50,60〉",14,0.0614601167742219
"curl","(60,70〉",131,0.575091092673076
"curl","(70,80〉",120,0.526801000921902
"curl","(80,90〉",34,0.149260283594539
"curl","(90,100)",1,0.00439000834101585
"curl","100",8846,38.8340137846262
"curl",NA,13228,58.0710303349576
"data","0",285,0.282530681840712
"data","(0,10〉",0,0
"data","(10,20〉",6,0.00594801435454131
"data","(20,30〉",0,0
"data","(30,40〉",158,0.156631044669588
"data","(40,50〉",4392,4.35394650752424
"data","(50,60〉",63,0.0624541507226837
"data","(60,70〉",1724,1.70906279120487
"data","(70,80〉",1927,1.91030394353352
"data","(80,90〉",43,0.042627436207546
"data","(90,100)",2,0.00198267145151377
"data","100",35696,35.3867200666178
"data",NA,56578,56.087792691873
"DBI","0",380,0.278588290494274
"DBI","(0,10〉",0,0
"DBI","(10,20〉",48,0.0351900998519083
"DBI","(20,30〉",7,0.00513188956173663
"DBI","(30,40〉",881,0.645884957698567
"DBI","(40,50〉",7216,5.29024501107022
"DBI","(50,60〉",156,0.114367824518702
"DBI","(60,70〉",2034,1.49118048122462
"DBI","(70,80〉",2591,1.8995322649228
"DBI","(80,90〉",40,0.0293250832099236
"DBI","(90,100)",0,0
"DBI","100",48507,35.5617952815941
"DBI",NA,74542,54.6487588158531
"digest","0",175,0.200881583176454
"digest","(0,10〉",0,0
"digest","(10,20〉",0,0
"digest","(20,30〉",0,0
"digest","(30,40〉",39,0.0447678956793241
"digest","(40,50〉",972,1.11575370770008
"digest","(50,60〉",132,0.151522108453097
"digest","(60,70〉",425,0.487855273428532
"digest","(70,80〉",452,0.518848431975756
"digest","(80,90〉",234,0.268607374075945
"digest","(90,100)",24,0.0275494742641995
