"name","strictness_ratio","number","percent"
"car","0/0",1599796,61.9116338667314
"car","0/1",5359,0.207391721126827
"car","1/1",464209,17.9647515343466
"car","0/2",3242,0.125464444839181
"car","1/2",37568,1.45387053168364
"car","2/2",246761,9.54957799906269
"car","1/3",4980,0.192724532788132
"car","2/3",39752,1.53839068823169
"car","3/3",55577,2.15081352585663
"car","1/4",21,0.000812693812962002
"car","2/4",49192,1.9037159070108
"car","3/4",18547,0.717763435666964
"car","4/4",38613,1.49431172380485
"car","0/5",1,3.8699705379143e-05
"car","2/5",1354,0.0523994010833596
"car","3/5",1950,0.0754644254893287
"car","4/5",7898,0.305650273084471
"car","5/5",4222,0.163390156110742
"car","1/6",110,0.00425696759170572
"car","2/6",9,0.000348297348412287
"car","3/6",37,0.00143188909902829
"car","4/6",1105,0.042763174443953
"car","5/6",143,0.00553405786921744
"car","6/6",1172,0.0453560547043555
"car","4/7",4,0.000154798821516572
"car","5/7",16,0.000619195286066287
"car","6/7",28,0.001083591750616
"car","7/7",181,0.00700464667362487
"car","6/8",1015,0.0392802009598301
"car","8/8",60,0.00232198232274858
"car","6/9",3,0.000116099116137429
"car","7/9",11,0.000425696759170572
"car","9/9",3,0.000116099116137429
"car","7/10",1003,0.0388158044952804
"car","9/10",3,0.000116099116137429
"car","10/10",3,0.000116099116137429
"car","7/11",13,0.000503096169928858
"car","10/11",10,0.000386997053791429
"car","11/11",10,0.000386997053791429
"car","10/12",16,0.000619195286066287
"car","11/16",1,3.8699705379143e-05
"car","12/16",1,3.8699705379143e-05
"checkmate","0/0",510648,51.5447330090472
"checkmate","0/1",277,0.0279603387137639
"checkmate","1/1",233132,23.532309332192
"checkmate","0/2",1189,0.120017482782185
"checkmate","1/2",9646,0.973665802285076
"checkmate","2/2",146443,14.7819345929954
"checkmate","1/3",2525,0.254873123654346
"checkmate","2/3",10593,1.06925584113682
"checkmate","3/3",14427,1.45625922968762
"checkmate","1/4",12,0.00121127821142659
"checkmate","2/4",32522,3.28276583266797
"checkmate","3/4",11294,1.14001467665433
"checkmate","4/4",6876,0.694062415147438
