"name","no.of.force.orders","number","calls","percent","percent.calls"
"car","0",491,NA,45.045871559633,NA
"car","1",484,658074,44.4036697247706,25.4672699176741
"car","2",78,199084,7.15596330275229,7.70449214570129
"car","3",23,69746,2.11009174311927,2.6991496513737
"car","4",6,6310,0.55045871559633,0.244195140942392
"car","5",2,9213,0.18348623853211,0.356540385658044
"car","6",4,11147,0.36697247706422,0.431385615861306
"car","8",2,22027,0.18348623853211,0.852438410386382
"checkmate","0",453,NA,40.9584086799277,NA
"checkmate","1",536,351181,48.4629294755877,35.4481577972502
"checkmate","2",86,68433,7.77576853526221,6.907616820213
"checkmate","3",17,38827,1.5370705244123,3.91919159292169
"checkmate","4",5,1002,0.452079566003617,0.101141730654121
"checkmate","5",4,5821,0.361663652802893,0.58757087239285
"checkmate","6",3,6125,0.27124773960217,0.618256587082324
"checkmate","7",1,6340,0.0904159132007233,0.63995865503705
"checkmate","8",1,846,0.0904159132007233,0.0853951139055748
"colorspace","0",579,NA,41.0347271438696,NA
"colorspace","1",671,242316,47.5549255846917,30.9231540810636
"colorspace","2",99,63171,7.01630049610206,8.06156657610256
"colorspace","3",36,28322,2.55138199858257,3.61431176597453
"colorspace","4",15,1996,1.06307583274274,0.254719521392739
"colorspace","5",4,4678,0.283486888731396,0.596982926390397
"colorspace","6",3,6578,0.212615166548547,0.839451408678075
"colorspace","7",1,293,0.070871722182849,0.0373911922685734
"colorspace","8",2,1942,0.141743444365698,0.247828311896142
"colorspace",">10",1,1479,0.070871722182849,0.188742571212355
"curl","0",296,NA,50.9466437177281,NA
"curl","1",238,8280,40.9638554216867,36.3492690636112
"curl","2",32,855,5.50774526678141,3.75345713156855
"curl","3",7,121,1.20481927710843,0.531191009262918
"curl","4",1,32,0.172117039586919,0.140480266912507
"curl","5",5,172,0.860585197934596,0.755081434654726
"curl","7",1,9,0.172117039586919,0.0395100750691426
"curl","8",1,25,0.172117039586919,0.109750208525396
"data","0",373,NA,48.9501312335958,NA
"data","1",314,33360,41.2073490813648,33.0709598112497
"data","2",50,7060,6.56167979002625,6.99883022384361
"data","3",11,861,1.44356955380577,0.853540059876678
"data","4",6,1109,0.78740157480315,1.09939131986439
"data","5",3,265,0.393700787401575,0.262703967325574
"data","6",2,605,0.26246719160105,0.599758114082915
"data","7",1,116,0.131233595800525,0.114994944187799
"data","8",1,28,0.131233595800525,0.0277574003211928
"data","9",1,607,0.131233595800525,0.601740785534429
"DBI","0",262,NA,38.41642228739,NA
"DBI","1",347,39993,50.8797653958944,29.3199513203619
"DBI","2",47,10645,6.89149560117302,7.80413776924092
"DBI","3",20,7411,2.93255131964809,5.4332047917186
"DBI","4",1,212,0.146627565982405,0.155422941012595
"DBI","5",3,1207,0.439882697947214,0.884884385859445
"DBI","6",1,983,0.146627565982405,0.720663919883873
"DBI","8",1,1029,0.146627565982405,0.754387765575285
"digest","0",299,NA,50.8503401360544,NA
"digest","1",238,21226,40.4761904761905,24.3652141971624
