"name","type","no.of.forces","number","percent_within_type","percent_overall"
"car","NIL",0,5632,37.8978534418949,0.350922667411048
"car","NIL",1,9229,62.1021465581051,0.575047105386464
"car","SYM",0,57445,64.041248606466,3.57932397539554
"car","SYM",1,32255,35.958751393534,2.00976751373284
"car","CLOS",0,0,0,0
"car","CLOS",1,442,100,0.0275404508159949
"car","ENV",0,0,0,0
"car","ENV",1,98,100,0.00610625380083145
"car","PROM",0,11272,34.1389545096614,0.702343804520123
"car","PROM",1,21746,65.8610454903386,1.35496525666205
"car","LANG",0,119575,46.7561057628391,7.45056426769817
"car","LANG",1,136167,53.2438942371609,8.48439042140628
"car","LGL",0,33353,17.4743801999287,2.07818247978705
"car","LGL",1,157515,82.5256198000713,9.81455681059148
"car","INT",0,273,0.518282264494817,0.0170102784451733
"car","INT",1,52401,99.4817177355052,3.26503883078948
"car","REAL",0,45,0.752256770310933,0.0028038920514022
"car","REAL",1,5937,99.2477432296891,0.36992682464833
"car","STR",0,21636,10.4737792451095,1.34811129831418
"car","STR",1,184937,89.5262207548905,11.5231863180037
"car","VEC",0,16356,88.7996090992996,1.01912129761632
"car","VEC",1,2063,11.2003909007004,0.128542873378727
"car","BCODE",0,46807,4.46236538637542,2.91648389444406
"car","BCODE",1,1002121,95.5376346136246,62.4408690320715
"checkmate","NIL",0,896,11.0114292736881,0.115501276830521
"checkmate","NIL",1,7241,88.9885707263119,0.933420474921656
"checkmate","SYM",0,9469,74.1039286273282,1.22062677489755
"checkmate","SYM",1,3309,25.8960713726718,0.426555496687717
"checkmate","CLOS",0,0,0,0
"checkmate","CLOS",1,349,100,0.0449887785868883
"checkmate","ENV",0,5,6.09756097560976,0.000644538375170319
"checkmate","ENV",1,77,93.9024390243902,0.00992589097762292
"checkmate","PROM",0,2757,84.4927980386148,0.355398460068914
"checkmate","PROM",1,506,15.5072019613852,0.0652272835672363
"checkmate","LANG",0,72924,77.7126537223726,9.40046329418407
"checkmate","LANG",1,20914,22.2873462776274,2.69597511566241
"checkmate","LGL",0,10272,15.2335755598398,1.3241396379499
"checkmate","LGL",1,57158,84.7664244401602,7.36810488959702
"checkmate","INT",0,558,9.50596252129472,0.0719304826690076
"checkmate","INT",1,5312,90.4940374787053,0.684757569780947
"checkmate","REAL",0,60,1.54004106776181,0.00773446050204383
"checkmate","REAL",1,3836,98.4599589322382,0.494489841430669
"checkmate","STR",0,6883,4.80334412684234,0.887271527259461
"checkmate","STR",1,136413,95.1966558731577,17.5846826744218
"checkmate","VEC",0,886,93.7566137566138,0.114212200080181
"checkmate","VEC",1,59,6.24338624338624,0.00760555282700977
"checkmate","BCODE",0,28486,5.0057990370084,3.67206403102034
