"name","strict","number","percent"
"car",FALSE,190,17.4311926605505
"car",TRUE,476,43.6697247706422
"car",NA,477,43.7614678899083
"checkmate",FALSE,200,18.0831826401447
"checkmate",TRUE,525,47.4683544303797
"checkmate",NA,439,39.6925858951175
"colorspace",FALSE,239,16.9383416017009
"colorspace",TRUE,679,48.1218993621545
"colorspace",NA,571,40.4677533664068
"curl",FALSE,82,14.1135972461274
"curl",TRUE,234,40.2753872633391
"curl",NA,291,50.0860585197935
"data",FALSE,121,15.8792650918635
"data",TRUE,317,41.6010498687664
"data",NA,361,47.3753280839895
"DBI",FALSE,154,22.5806451612903
"DBI",TRUE,314,46.0410557184751
"DBI",NA,259,37.9765395894428
"digest",FALSE,80,13.6054421768707
"digest",TRUE,235,39.9659863945578
"digest",NA,297,50.5102040816327
"dplyr",FALSE,293,22.2644376899696
"dplyr",TRUE,657,49.9240121580547
"dplyr",NA,433,32.90273556231
"foreach",FALSE,117,14.1646489104116
"foreach",TRUE,387,46.8523002421308
"foreach",NA,363,43.9467312348668
"forecast",FALSE,204,16.1010260457774
"forecast",TRUE,510,40.2525651144436
"forecast",NA,613,48.3820047355959
"Formula",FALSE,89,16.952380952381
"Formula",TRUE,220,41.9047619047619
"Formula",NA,241,45.9047619047619
"gdata",FALSE,95,15.702479338843
"gdata",TRUE,255,42.1487603305785
"gdata",NA,286,47.2727272727273
"ggplot2",FALSE,138,17.5349428208386
"ggplot2",TRUE,363,46.1245235069886
"ggplot2",NA,327,41.5501905972046
"gridExtra",FALSE,295,17.8787878787879
"gridExtra",TRUE,853,51.6969696969697
"gridExtra",NA,600,36.3636363636364
"highr",FALSE,75,15.8562367864693
"highr",TRUE,183,38.6892177589852
"highr",NA,231,48.8372093023256
"htmlwidgets",FALSE,78,16.3865546218487
"htmlwidgets",TRUE,199,41.8067226890756
"htmlwidgets",NA,216,45.3781512605042
"iterators",FALSE,59,13.3786848072562
"iterators",TRUE,179,40.5895691609977
"iterators",NA,216,48.9795918367347
"jsonlite",FALSE,107,18.135593220339
"jsonlite",TRUE,253,42.8813559322034
"jsonlite",NA,259,43.8983050847458
"knitr",FALSE,122,16.5311653116531
"knitr",TRUE,293,39.7018970189702
"knitr",NA,352,47.6964769647696
"lazyeval",FALSE,114,18.75
"lazyeval",TRUE,251,41.2828947368421
"lazyeval",NA,263,43.2565789473684
"lubridate",FALSE,207,20.7207207207207
"lubridate",TRUE,442,44.2442442442442
"lubridate",NA,413,41.3413413413413
"magrittr",FALSE,99,14.9546827794562
"magrittr",TRUE,293,44.2598187311178
"magrittr",NA,290,43.8066465256798
"markdown",FALSE,73,15.531914893617
"markdown",TRUE,184,39.1489361702128
"markdown",NA,230,48.936170212766
"mvtnorm",FALSE,90,13.2743362831858
"mvtnorm",TRUE,269,39.6755162241888
"mvtnorm",NA,341,50.2949852507375
"nloptr",FALSE,65,12.6705653021442
"nloptr",TRUE,212,41.3255360623782
"nloptr",NA,253,49.317738791423
"quantreg",FALSE,195,17.4887892376682
"quantreg",TRUE,511,45.8295964125561
"quantreg",NA,484,43.4080717488789
"R6",FALSE,285,20.1413427561837
"R6",TRUE,665,46.9964664310954
"R6",NA,559,39.5053003533569
"RcppArmadillo",FALSE,353,20.045428733674
"RcppArmadillo",TRUE,793,45.0312322544009
"RcppArmadillo",NA,717,40.7155025553663
"RcppEigen",FALSE,7,9.85915492957746
"RcppEigen",TRUE,19,26.7605633802817
"RcppEigen",NA,47,66.1971830985916
"Rcpp",FALSE,162,17.27078891258
"Rcpp",TRUE,445,47.4413646055437
"Rcpp",NA,385,41.044776119403
"readr",FALSE,137,15.0549450549451
"readr",TRUE,441,48.4615384615385
"readr",NA,368,40.4395604395604
"readxl",FALSE,129,15.6363636363636
"readxl",TRUE,382,46.3030303030303
"readxl",NA,346,41.9393939393939
"rlang",FALSE,63,14.6853146853147
"rlang",TRUE,175,40.7925407925408
"rlang",NA,206,48.018648018648
"rprojroot",FALSE,44,12.0547945205479
"rprojroot",TRUE,156,42.7397260273973
"rprojroot",NA,179,49.041095890411
"RSQLite",FALSE,149,19.7612732095491
"RSQLite",TRUE,367,48.6737400530504
"RSQLite",NA,281,37.2679045092838
"SparseM",FALSE,162,18.0400890868597
"SparseM",TRUE,412,45.8797327394209
"SparseM",NA,379,42.2048997772829
"sp",FALSE,506,23.2323232323232
"sp",TRUE,1029,47.2451790633609
"sp",NA,811,37.2359963269054
"stringr",FALSE,60,11.7647058823529
"stringr",TRUE,261,51.1764705882353
"stringr",NA,210,41.1764705882353
"tibble",FALSE,129,16.6666666666667
"tibble",TRUE,353,45.6072351421189
"tibble",NA,330,42.6356589147287
"tidyr",FALSE,52,13.4715025906736
"tidyr",TRUE,159,41.1917098445596
"tidyr",NA,188,48.7046632124352
"viridis",FALSE,189,17.4193548387097
"viridis",TRUE,519,47.8341013824885
"viridis",NA,446,41.1059907834101
"xml2",FALSE,101,17.719298245614
"xml2",TRUE,267,46.8421052631579
"xml2",NA,229,40.1754385964912
"xtable",FALSE,519,17.983367983368
"xtable",TRUE,1142,39.5703395703396
"xtable",NA,1377,47.7130977130977
"xts",FALSE,155,17.7956371986223
"xts",TRUE,376,43.1687715269805
"xts",NA,390,44.7761194029851
"zoo",FALSE,397,21.1507725093234
"zoo",TRUE,838,44.6457112413426
"zoo",NA,783,41.7155034629728
