"name","number","strictness_rate","percent"
"car",152,"0",13.9449541284404
"car",4,"(0,10〉",0.36697247706422
"car",3,"(10,20〉",0.275229357798165
"car",0,"(20,30〉",0
"car",2,"(30,40〉",0.18348623853211
"car",6,"(40,50〉",0.55045871559633
"car",2,"(50,60〉",0.18348623853211
"car",2,"(60,70〉",0.18348623853211
"car",5,"(70,80〉",0.458715596330275
"car",6,"(80,90〉",0.55045871559633
"car",8,"(90,100)",0.73394495412844
"car",433,"100",39.7247706422018
"car",477,NA,43.7614678899083
"checkmate",154,"0",13.9240506329114
"checkmate",3,"(0,10〉",0.27124773960217
"checkmate",2,"(10,20〉",0.180831826401447
"checkmate",2,"(20,30〉",0.180831826401447
"checkmate",2,"(30,40〉",0.180831826401447
"checkmate",9,"(40,50〉",0.81374321880651
"checkmate",1,"(50,60〉",0.0904159132007233
"checkmate",7,"(60,70〉",0.632911392405063
"checkmate",4,"(70,80〉",0.361663652802893
"checkmate",7,"(80,90〉",0.632911392405063
"checkmate",9,"(90,100)",0.81374321880651
"checkmate",477,"100",43.128390596745
"checkmate",439,NA,39.6925858951175
"colorspace",181,"0",12.8277817150957
"colorspace",14,"(0,10〉",0.992204110559887
"colorspace",5,"(10,20〉",0.354358610914245
"colorspace",0,"(20,30〉",0
"colorspace",3,"(30,40〉",0.212615166548547
"colorspace",14,"(40,50〉",0.992204110559887
"colorspace",4,"(50,60〉",0.283486888731396
"colorspace",3,"(60,70〉",0.212615166548547
"colorspace",3,"(70,80〉",0.212615166548547
"colorspace",4,"(80,90〉",0.283486888731396
"colorspace",8,"(90,100)",0.566973777462792
"colorspace",617,"100",43.7278525868179
"colorspace",571,NA,40.4677533664068
"curl",62,"0",10.671256454389
"curl",1,"(0,10〉",0.172117039586919
"curl",1,"(10,20〉",0.172117039586919
"curl",4,"(20,30〉",0.688468158347676
"curl",2,"(30,40〉",0.344234079173838
"curl",2,"(40,50〉",0.344234079173838
"curl",1,"(50,60〉",0.172117039586919
"curl",2,"(60,70〉",0.344234079173838
"curl",4,"(70,80〉",0.688468158347676
"curl",2,"(80,90〉",0.344234079173838
"curl",1,"(90,100)",0.172117039586919
"curl",214,"100",36.8330464716007
"curl",291,NA,50.0860585197935
"data",93,"0",12.2047244094488
"data",5,"(0,10〉",0.656167979002625
"data",2,"(10,20〉",0.26246719160105
"data",4,"(20,30〉",0.5249343832021
"data",2,"(30,40〉",0.26246719160105
"data",4,"(40,50〉",0.5249343832021
"data",1,"(50,60〉",0.131233595800525
"data",1,"(60,70〉",0.131233595800525
"data",2,"(70,80〉",0.26246719160105
"data",4,"(80,90〉",0.5249343832021
"data",3,"(90,100)",0.393700787401575
"data",288,"100",37.7952755905512
"data",361,NA,47.3753280839895
"DBI",116,"0",17.0087976539589
"DBI",4,"(0,10〉",0.586510263929619
"DBI",2,"(10,20〉",0.293255131964809
"DBI",2,"(20,30〉",0.293255131964809
"DBI",6,"(30,40〉",0.879765395894428
"DBI",6,"(40,50〉",0.879765395894428
"DBI",2,"(50,60〉",0.293255131964809
"DBI",3,"(60,70〉",0.439882697947214
"DBI",3,"(70,80〉",0.439882697947214
"DBI",6,"(80,90〉",0.879765395894428
"DBI",4,"(90,100)",0.586510263929619
"DBI",275,"100",40.3225806451613
"DBI",259,NA,37.9765395894428
"digest",63,"0",10.7142857142857
"digest",0,"(0,10〉",0
"digest",1,"(10,20〉",0.170068027210884
"digest",4,"(20,30〉",0.680272108843537
"digest",1,"(30,40〉",0.170068027210884
"digest",2,"(40,50〉",0.340136054421769
"digest",1,"(50,60〉",0.170068027210884
"digest",3,"(60,70〉",0.510204081632653
"digest",2,"(70,80〉",0.340136054421769
"digest",1,"(80,90〉",0.170068027210884
"digest",2,"(90,100)",0.340136054421769
"digest",217,"100",36.9047619047619
"digest",297,NA,50.5102040816327
"dplyr",239,"0",18.161094224924
"dplyr",4,"(0,10〉",0.303951367781155
"dplyr",2,"(10,20〉",0.151975683890578
"dplyr",5,"(20,30〉",0.379939209726444
"dplyr",7,"(30,40〉",0.531914893617021
"dplyr",2,"(40,50〉",0.151975683890578
"dplyr",4,"(50,60〉",0.303951367781155
"dplyr",7,"(60,70〉",0.531914893617021
"dplyr",4,"(70,80〉",0.303951367781155
"dplyr",8,"(80,90〉",0.60790273556231
"dplyr",11,"(90,100)",0.835866261398176
"dplyr",602,"100",45.7446808510638
"dplyr",433,NA,32.90273556231
"foreach",87,"0",10.5326876513317
"foreach",5,"(0,10〉",0.605326876513317
"foreach",4,"(10,20〉",0.484261501210654
"foreach",0,"(20,30〉",0
"foreach",1,"(30,40〉",0.121065375302663
"foreach",4,"(40,50〉",0.484261501210654
"foreach",2,"(50,60〉",0.242130750605327
"foreach",3,"(60,70〉",0.36319612590799
"foreach",5,"(70,80〉",0.605326876513317
"foreach",0,"(80,90〉",0
"foreach",6,"(90,100)",0.726392251815981
"foreach",356,"100",43.0992736077482
"foreach",363,NA,43.9467312348668
"forecast",159,"0",12.5493291239148
"forecast",5,"(0,10〉",0.394632991318074
"forecast",2,"(10,20〉",0.15785319652723
"forecast",2,"(20,30〉",0.15785319652723
"forecast",2,"(30,40〉",0.15785319652723
"forecast",11,"(40,50〉",0.868192580899763
"forecast",3,"(50,60〉",0.236779794790845
"forecast",2,"(60,70〉",0.15785319652723
"forecast",4,"(70,80〉",0.315706393054459
"forecast",7,"(80,90〉",0.552486187845304
"forecast",7,"(90,100)",0.552486187845304
"forecast",462,"100",36.4640883977901
"forecast",613,NA,48.3820047355959
"Formula",69,"0",13.1428571428571
"Formula",3,"(0,10〉",0.571428571428571
"Formula",0,"(10,20〉",0
"Formula",0,"(20,30〉",0
"Formula",1,"(30,40〉",0.19047619047619
"Formula",3,"(40,50〉",0.571428571428571
"Formula",2,"(50,60〉",0.380952380952381
