"name","type","number","percent"
"car","closure",654,60
"car","built-in",134,12.2935779816514
"car","special",24,2.20183486238532
"car","primitive",278,25.5045871559633
"checkmate","closure",718,64.9186256781194
"checkmate","built-in",130,11.754068716094
"checkmate","special",21,1.89873417721519
"checkmate","primitive",237,21.4285714285714
"colorspace","closure",887,62.8632175761871
"colorspace","built-in",129,9.14245216158753
"colorspace","special",28,1.98440822111977
"colorspace","primitive",367,26.0099220411056
"curl","closure",314,54.0447504302926
"curl","built-in",112,19.2771084337349
"curl","special",22,3.78657487091222
"curl","primitive",133,22.8915662650602
"data","closure",431,56.5616797900262
"data","built-in",119,15.6167979002625
"data","special",22,2.88713910761155
"data","primitive",190,24.9343832020997
"DBI","closure",450,65.9824046920821
"DBI","built-in",100,14.6627565982405
"DBI","special",24,3.51906158357771
"DBI","primitive",108,15.8357771260997
"digest","closure",310,52.7210884353741
"digest","built-in",97,16.4965986394558
"digest","special",21,3.57142857142857
"digest","primitive",160,27.2108843537415
"dplyr","closure",928,70.516717325228
"dplyr","built-in",127,9.65045592705167
"dplyr","special",26,1.97568389057751
"dplyr","primitive",235,17.8571428571429
"foreach","closure",500,60.5326876513317
"foreach","built-in",121,14.6489104116223
"foreach","special",21,2.54237288135593
"foreach","primitive",184,22.2760290556901
"forecast","closure",698,55.0907655880032
"forecast","built-in",136,10.7340173638516
"forecast","special",22,1.73638516179953
"forecast","primitive",411,32.4388318863457
"Formula","closure",302,57.5238095238095
"Formula","built-in",87,16.5714285714286
"Formula","special",21,4
"Formula","primitive",115,21.9047619047619
"gdata","closure",342,56.5289256198347
"gdata","built-in",107,17.6859504132231
"gdata","special",19,3.1404958677686
"gdata","primitive",137,22.6446280991736
"ggplot2","closure",500,63.5324015247776
"ggplot2","built-in",106,13.4688691232529
"ggplot2","special",22,2.79542566709022
"ggplot2","primitive",159,20.2033036848793
"gridExtra","closure",1132,68.6060606060606
"gridExtra","built-in",136,8.24242424242424
"gridExtra","special",24,1.45454545454545
"gridExtra","primitive",358,21.6969696969697
"highr","closure",261,55.1797040169133
"highr","built-in",87,18.3932346723044
"highr","special",16,3.38266384778013
"highr","primitive",109,23.0443974630021
"htmlwidgets","closure",280,58.8235294117647
"htmlwidgets","built-in",91,19.1176470588235
"htmlwidgets","special",21,4.41176470588235
"htmlwidgets","primitive",84,17.6470588235294
"iterators","closure",257,58.2766439909297
"iterators","built-in",84,19.047619047619
"iterators","special",18,4.08163265306122
"iterators","primitive",82,18.59410430839
"jsonlite","closure",355,60.1694915254237
"jsonlite","built-in",98,16.6101694915254
"jsonlite","special",24,4.06779661016949
"jsonlite","primitive",113,19.1525423728814
"knitr","closure",417,56.5040650406504
"knitr","built-in",106,14.3631436314363
"knitr","special",25,3.38753387533875
"knitr","primitive",190,25.7452574525745
"lazyeval","closure",371,61.0197368421053
"lazyeval","built-in",98,16.1184210526316
"lazyeval","special",21,3.45394736842105
"lazyeval","primitive",118,19.4078947368421
"lubridate","closure",623,62.3623623623624
"lubridate","built-in",122,12.2122122122122
"lubridate","special",20,2.002002002002
"lubridate","primitive",234,23.4234234234234
"magrittr","closure",397,59.9697885196375
"magrittr","built-in",102,15.4078549848943
"magrittr","special",24,3.62537764350453
"magrittr","primitive",139,20.9969788519637
"markdown","closure",263,55.9574468085106
"markdown","built-in",94,20
"markdown","special",20,4.25531914893617
"markdown","primitive",93,19.7872340425532
"mvtnorm","closure",354,52.212389380531
"mvtnorm","built-in",98,14.4542772861357
"mvtnorm","special",19,2.8023598820059
"mvtnorm","primitive",207,30.5309734513274
"nloptr","closure",279,54.3859649122807
"nloptr","built-in",100,19.4931773879142
"nloptr","special",16,3.11890838206628
"nloptr","primitive",118,23.0019493177388
"quantreg","closure",678,60.8071748878924
"quantreg","built-in",138,12.3766816143498
"quantreg","special",23,2.0627802690583
"quantreg","primitive",276,24.7533632286996
"R6","closure",956,67.5618374558304
"R6","built-in",144,10.1766784452297
"R6","special",28,1.97879858657244
"R6","primitive",287,20.2826855123675
"RcppArmadillo","closure",1188,67.4616695059625
"RcppArmadillo","built-in",179,10.1646791595684
"RcppArmadillo","special",26,1.47643384440659
"RcppArmadillo","primitive",368,20.8972174900625
"RcppEigen","closure",28,39.4366197183099
"RcppEigen","built-in",19,26.7605633802817
"RcppEigen","special",4,5.63380281690141
"RcppEigen","primitive",20,28.169014084507
"Rcpp","closure",604,64.3923240938166
"Rcpp","built-in",151,16.0980810234542
"Rcpp","special",22,2.3454157782516
"Rcpp","primitive",161,17.1641791044776
