"name","classification","number","percent"
"BMS","accessed 2+ times, forced 2+ times",0,0
"BMS","accessed 2+ times, forced once",4010785,22.9569350373776
"BMS","accessed once, forced once",7603832,43.5228209089075
"BMS","accessed 1+ times, never forced",369970,2.11763464154239
"BMS","never accessed",5486321,31.4026094121725
"car","accessed 2+ times, forced 2+ times",0,0
"car","accessed 2+ times, forced once",394026,20.5510338730666
"car","accessed once, forced once",1210885,63.1555751432349
"car","accessed 1+ times, never forced",33823,1.7640907419529
"car","never accessed",278571,14.5293002417456
"caschrono","accessed 2+ times, forced 2+ times",0,0
"caschrono","accessed 2+ times, forced once",372910,18.8054118194063
"caschrono","accessed once, forced once",1270713,64.0805590337434
"caschrono","accessed 1+ times, never forced",15754,0.79445565365082
"caschrono","never accessed",323616,16.3195734931994
"catdata","accessed 2+ times, forced 2+ times",0,0
"catdata","accessed 2+ times, forced once",0,0
"catdata","accessed once, forced once",0,0
"catdata","accessed 1+ times, never forced",0,0
"catdata","never accessed",0,0
"cellranger","accessed 2+ times, forced 2+ times",0,0
"cellranger","accessed 2+ times, forced once",0,0
"cellranger","accessed once, forced once",0,0
"cellranger","accessed 1+ times, never forced",0,0
"cellranger","never accessed",0,0
"checkmate","accessed 2+ times, forced 2+ times",0,0
"checkmate","accessed 2+ times, forced once",191496,21.0679645830766
"checkmate","accessed once, forced once",584252,64.2781073421465
"checkmate","accessed 1+ times, never forced",5865,0.645254273090531
"checkmate","never accessed",127331,14.0086738016864
"colorspace","accessed 2+ times, forced 2+ times",0,0
"colorspace","accessed 2+ times, forced once",142537,21.1949983866243
"colorspace","accessed once, forced once",419217,62.3368222892686
"colorspace","accessed 1+ times, never forced",5792,0.861260098467962
"colorspace","never accessed",104957,15.6069192256391
"copula","accessed 2+ times, forced 2+ times",0,0
"copula","accessed 2+ times, forced once",1433218,5.66221905709434
"copula","accessed once, forced once",14131847,55.8307343302564
"copula","accessed 1+ times, never forced",101289,0.400162784778051
"copula","never accessed",9645595,38.1068838278712
"curl","accessed 2+ times, forced 2+ times",0,0
