"name","no.of.evaluations","number","percent"
"BMS","0",5486321,31.4026094121725
"BMS","1",7973436,45.6383606392982
"BMS","2",2175775,12.4537030359269
"BMS","3",915337,5.23920680024187
"BMS","4",421335,2.41163767790432
"BMS","5",159568,0.913335471745372
"BMS","6",1631,0.00933551936739636
"BMS","7",293744,1.68133218948895
"BMS","8",35279,0.201929974103235
"BMS","9",1326,0.00758976007429036
"BMS","10",44,0.000251847242284145
"BMS",">10",7112,0.0407076724346554
"car","0",278571,14.5293002417456
"car","1",1238137,64.5769452434537
"car","2",296964,15.4886155306537
"car","3",60248,3.14232738140254
"car","4",14668,0.765032167547678
"car","5",18396,0.95947175853607
"car","6",2472,0.128930973423634
"car","7",4235,0.220882958110473
"car","8",262,0.0136650141735405
"car","9",1217,0.0634745124015219
"car","10",124,0.00646741128824053
"car",">10",2011,0.10488680726332
"caschrono","0",323616,16.3195734931994
"caschrono","1",1284896,64.7957910088437
"caschrono","2",260427,13.1330266924795
"caschrono","3",63815,3.21811524296858
"caschrono","4",22641,1.14175894720758
"caschrono","5",19900,1.00353354752135
"caschrono","6",3663,0.184720773094005
"caschrono","7",664,0.0334847374650339
"caschrono","8",566,0.0285427129596524
"caschrono","9",538,0.0271307059581148
"caschrono","10",429,0.021633964416415
"caschrono",">10",1838,0.0926881738866451
"catdata","0",0,NA
"catdata",">10",0,NA
"cellranger","0",0,NA
"cellranger",">10",0,NA
"checkmate","0",127331,14.0086738016864
"checkmate","1",589440,64.84887957894
"checkmate","2",151006,16.6133447165062
"checkmate","3",24264,2.66947138657607
"checkmate","4",6568,0.722596771638297
"checkmate","5",7547,0.830304177155028
"checkmate","6",1123,0.123549965674453
"checkmate","7",201,0.0221135735534862
"checkmate","8",196,0.0215634846591209
"checkmate","9",226,0.0248640180253129
"checkmate","10",126,0.0138622401380063
"checkmate",">10",916,0.100776285447728
"colorspace","0",104957,15.6069192256391
"colorspace","1",424158,63.0715402013077
"colorspace","2",109862,16.3362840017071
"colorspace","3",19159,2.84890922419677
"colorspace","4",5525,0.821557673348669
"colorspace","5",6028,0.896352878723218
"colorspace","6",1193,0.177396978154744
"colorspace","7",364,0.0541261525970888
"colorspace","8",134,0.0199255616703569
"colorspace","9",300,0.0446094664261721
"colorspace","10",111,0.0165055025776837
"colorspace",">10",712,0.105873133651448
"curl","0",1454,8.04960416320655
"curl","1",12418,68.7482699440846
"curl","2",3455,19.1274982007418
"curl","3",355,1.96534351990256
"curl","4",136,0.752920334385207
"curl","5",147,0.81381830260754
"curl","6",29,0.160549188949787
"curl","7",8,0.044289431434424
"curl","8",14,0.0775065050102419
"curl","9",5,0.027680894646515
"curl","10",1,0.00553617892930299
"curl",">10",41,0.226983336101423
"data","0",13153,15.0504044946392
"data","1",57571,65.8759854908288
"data","2",11498,13.1566601444052
"data","3",2657,3.04028926801918
"data","4",972,1.11221722563592
"data","5",1113,1.27355737873743
"data","6",236,0.270044511574154
"data","7",31,0.035471948554232
"data","8",33,0.0377604613641825
"data","9",40,0.0457702561990091
"data","10",15,0.0171638460746284
"data",">10",74,0.0846749739681668
"DBI","0",21299,16.8983354754764
"DBI","1",83330,66.1128830072516
"DBI","2",14895,11.8174894082925
"DBI","3",3635,2.88395931514892
"DBI","4",1062,0.842576284095778
"DBI","5",1225,0.971898256136843
"DBI","6",378,0.299900033322226
"DBI","7",47,0.0372891575823932
"DBI","8",34,0.0269751352723695
"DBI","9",47,0.0372891575823932
"DBI","10",7,0.00555370432078196
"DBI",">10",83,0.0658510655178433
"digest","0",3146,5.99969486612251
"digest","1",35875,68.4167365931803
"digest","2",8958,17.0836829659013
"digest","3",2319,4.42253413685254
"digest","4",954,1.81936074452666
"digest","5",567,1.08131817835075
"digest","6",106,0.202151193836296
"digest","7",33,0.0629338622320543
"digest","8",45,0.0858189030437104
"digest","9",54,0.102982683652453
"digest","10",24,0.0457700816233122
"digest",">10",355,0.67701579067816
"dplyr","0",59380,7.01803320151376
"dplyr","1",643632,76.0699014071523
"dplyr","2",96131,11.3615788092745
"dplyr","3",31829,3.76182180483296
"dplyr","4",10589,1.25149803925277
"dplyr","5",1121,0.132489309850066
"dplyr","6",353,0.0417205409251323
"dplyr","7",66,0.00780044107948649
"dplyr","8",2726,0.322181854283033
"dplyr","9",49,0.0057912365590127
"dplyr","10",21,0.00248195852529116
"dplyr",">10",209,0.0247013967517072
"foreach","0",289025,32.3233080100071
"foreach","1",515679,57.6713126936854
"foreach","2",46374,5.18626792027011
"foreach","3",29627,3.31335575265973
"foreach","4",4399,0.491965165421749
"foreach","5",2835,0.317054158665756
"foreach","6",3441,0.3848265819996
"foreach","7",176,0.0196830800441527
"foreach","8",2130,0.238210002807076
"foreach","9",62,0.00693381228828107
"foreach","10",23,0.00257222068758814
"foreach",">10",398,0.0445106014634817
"forecast","0",77921,9.81960240698151
"forecast","1",572911,72.198229419363
"forecast","2",77260,9.73630320405784
"forecast","3",29670,3.73901263350241
"forecast","4",23405,2.94949749535301
"forecast","5",8341,1.05113260451782
"forecast","6",1386,0.174663684193945
"forecast","7",530,0.0667905863079298
"forecast","8",308,0.0388141520430988
"forecast","9",318,0.0400743517847579
"forecast","10",268,0.0337733530764626
"forecast",">10",1207,0.152106108818248
"Formula","0",2378,8.21444609485647
"Formula","1",22276,76.9491174133822
"Formula","2",3037,10.4908632422536
"Formula","3",509,1.7582645341808
"Formula","4",296,1.02248782341359
"Formula","5",201,0.694324501709904
"Formula","6",149,0.51469826246157
"Formula","7",40,0.138174030191026
"Formula","8",7,0.0241804552834295
"Formula","9",26,0.0898131196241666
"Formula","10",8,0.0276348060382051
"Formula",">10",22,0.0759957166050641
"gamclass","0",950358,17.6234577402183
"gamclass","1",3177101,58.9162244226968
"gamclass","2",757215,14.0418100892079
"gamclass","3",260055,4.82246511591681
"gamclass","4",130179,2.41404197698539
