"name","type","number","percent"
"car","BCODE",1048928,54.7084579657384
"car","LANG",255742,13.3386185296549
"car","STR",206573,10.7741334842396
"car","LGL",190868,9.95501498196688
"car","INT",52674,2.7472937273934
"car","SYM→PROM→BCODE",24293,1.26703889052602
"car","VEC",18419,0.960671359016953
"car","SYM",16422,0.856514743350693
"car","NIL",14861,0.775098380278568
"car","SYM→VEC",11184,0.583318772965178
"car","PROM→LANG",9629,0.502215349148936
"car","SYM→STR",8277,0.431699703490055
"car","PROM→SYM",8011,0.417826063145926
"car","SYM→PROM→LANG",6137,0.320084702225259
"car","PROM→SYM→STR",6060,0.316068648441432
"car","REAL",5982,0.312000438114958
"car","SYM→ENV",4510,0.235226007338426
"car","SYM→INT",4225,0.220361392684002
"car","SYM→PROM→STR",4078,0.212694380914878
"car","SYM→PROM→VEC",4077,0.212642224372231
"car","PROM→SYM→PROM→STR",4077,0.212642224372231
"car","SYM→PROM→SYM→...",4072,0.212381441658995
"car","PROM→SYM→INT",3118,0.162624099973661
"car","PROM→BCODE",1100,0.0573721969118111
"car","SYM→PROM→SYM",1094,0.0570592576559285
"car","SYM→PROM→SYM→PROM→BCODE",1014,0.0528867342441604
"car","PROM→INT",1014,0.0528867342441604
"car","CLOS",442,0.0230531918500186
"car","SYM→PROM→REAL",134,0.00698897671471153
"car","ENV",98,0.0051113411794159
"car","SYM→CLOS",80,0.00417252341176808
"car","SYM→PROM→SYM→INT",71,0.00370311452794417
"car","SYM→LGL",24,0.00125175702353042
"car","SYM→LANG",8,0.000417252341176808
"car","PROM→SYM→PROM→LANG",6,0.000312939255882606
"car","PROM→LGL",3,0.000156469627941303
"checkmate","BCODE",569060,62.6067172455069
"checkmate","STR",143296,15.7651076413948
"checkmate","LANG",93838,10.3238483338908
"checkmate","LGL",67430,7.41849882941083
"checkmate","NIL",8137,0.895214666690137
"checkmate","INT",5870,0.645804361984897
"checkmate","REAL",3896,0.428629266489465
"checkmate","SYM",3763,0.413996901899347
"checkmate","SYM→ENV",2663,0.292977345138974
"checkmate","PROM→SYM",2432,0.267563238219296
"checkmate","SYM→PROM→BCODE",1389,0.152814694854689
"checkmate","SYM→VEC",1336,0.146983752574416
