"name","type","number","percent"
"car","BCODE",1048928,54.7084579657384
"car","LANG",255742,13.3386185296549
"car","STR",206573,10.7741334842396
"car","LGL",190868,9.95501498196688
"car","SYM",89700,4.67844187544496
"car","INT",52674,2.7472937273934
"car","PROM",33018,1.72210472512198
"car","VEC",18419,0.960671359016953
"car","NIL",14861,0.775098380278568
"car","REAL",5982,0.312000438114958
"car","CLOS",442,0.0230531918500186
"car","ENV",98,0.0051113411794159
"checkmate","BCODE",569060,62.6067172455069
"checkmate","STR",143296,15.7651076413948
"checkmate","LANG",93838,10.3238483338908
"checkmate","LGL",67430,7.41849882941083
"checkmate","SYM",12778,1.40580717844004
"checkmate","NIL",8137,0.895214666690137
"checkmate","INT",5870,0.645804361984897
"checkmate","REAL",3896,0.428629266489465
"checkmate","PROM",3263,0.358988012462814
"checkmate","VEC",945,0.103966801035047
"checkmate","CLOS",349,0.0383962048267
"checkmate","ENV",82,0.0090214578675914
"colorspace","BCODE",419427,62.3680489157669
"colorspace","STR",99335,14.7709378248127
"colorspace","LANG",60608,9.01230180385812
"colorspace","LGL",49572,7.37126823226067
"colorspace","SYM",21349,3.17455832910783
"colorspace","NIL",6284,0.934419623406884
"colorspace","REAL",4431,0.658881819114562
"colorspace","INT",4046,0.601633003867641
"colorspace","PROM",3171,0.471522060124639
"colorspace","VEC",2662,0.395834665421567
"colorspace","ENV",1347,0.200296504253513
"colorspace","CLOS",271,0.0402972180049754
"curl","BCODE",10364,57.3769584232962
"curl","STR",3040,16.8299839450811
"curl","LANG",1950,10.7955489121408
"curl","LGL",1269,7.0254110612855
"curl","REAL",335,1.8546199413165
"curl","NIL",318,1.76050489951835
"curl","INT",286,1.58334717378066
"curl","SYM",252,1.39511709018435
"curl","PROM",156,0.863643912971267
"curl","VEC",92,0.509328461495876
"curl","CLOS",1,0.00553617892930299
"data","BCODE",54967,62.8963418122733
"data","STR",10927,12.5032897371643
"data","LANG",9452,10.8155115398258
"data","LGL",7764,8.88400672822766
"data","SYM",1255,1.43604178824391
"data","NIL",1128,1.29072122481206
"data","INT",766,0.876500406211024
"data","REAL",531,0.607600151041846
"data","VEC",405,0.463423844014967
"data","PROM",195,0.223129998970169
